detection_level,metric,date,value,iqr_anomaly,mad_anomaly,iqr_deviation,mad_z_score,severity,lower_bound,upper_bound,state
temporal,bio_total,2025-04-01,8641679.0,True,True,999.0,5828812.4854999995,1.0,-3744999.9000000004,3744999.9000000004,
temporal,bio_total,2025-05-01,7879956.0,True,True,999.0,5315030.322,1.0,-4908227.210728984,4908227.210728984,
temporal,bio_total,2025-06-01,7899289.0,True,True,1.5098137603814032,5328070.4305,1.0,-2954983.5,4924972.5,
temporal,bio_total,2025-07-01,9792552.0,False,True,0.0,6605076.324,1.0,-11819934.0,19699890.0,
temporal,bio_total,2025-09-01,317180.0,False,True,0.0,213937.91,1.0,-11841683.625,19736139.375,
temporal,bio_total,2025-09-02,301984.0,False,True,0.0,203688.20799999998,1.0,-11834433.75,19724056.25,
temporal,bio_total,2025-09-03,308206.0,False,True,0.0,207884.947,1.0,-11827183.875,19711973.125,
temporal,bio_total,2025-09-04,272576.0,False,True,0.0,183852.512,1.0,-11819934.0,19699890.0,
temporal,bio_total,2025-10-24,257026.0,False,True,0.0,3.2404559532546715,1.0,-566506.5,944177.5,
temporal,bio_total,2025-10-25,378917.0,False,True,0.0,5.0970692768023484,1.0,-506369.25,843948.75,
temporal,bio_total,2025-10-26,373145.0,False,True,0.0,5.009151611810535,1.0,-506369.25,843948.75,
temporal,bio_total,2025-10-27,336524.0,False,True,0.0,4.4513496697340935,1.0,-548192.625,913654.375,
temporal,bio_total,2025-11-26,0.0,True,True,0.6952026101582598,-4.080632486396546,0.3476013050791299,82353.875,556194.875,
temporal,bio_total,2025-11-27,0.0,True,True,0.6952026101582598,-4.080632486396546,0.3476013050791299,82353.875,556194.875,
temporal,bio_total,2025-11-28,0.0,True,True,0.6952026101582598,-4.080632486396546,0.3476013050791299,82353.875,556194.875,
temporal,bio_total,2025-11-29,0.0,True,True,0.6952026101582598,-4.080632486396546,0.3476013050791299,82353.875,556194.875,
temporal,demo_total,2025-04-01,907282.0,False,True,0.0,611961.709,1.0,-3685568.3999999994,3685568.3999999994,
temporal,demo_total,2025-05-01,939768.0,False,True,0.0,633873.516,1.0,-3514257.7194310194,3514257.7194310194,
temporal,demo_total,2025-06-01,1040944.0,True,True,2.0892853600093466,702116.728,1.0,-340230.75,567051.25,
temporal,demo_total,2025-07-01,1510892.0,False,True,0.0,1019096.654,1.0,-1360923.0,2268205.0,
temporal,demo_total,2025-09-01,344196.0,False,True,0.0,232160.202,1.0,-1397469.75,2329116.25,
temporal,demo_total,2025-09-02,342588.0,False,True,0.0,231075.606,1.0,-1385287.5,2308812.5,
temporal,demo_total,2025-09-03,276818.0,False,True,0.0,186713.741,1.0,-1373105.25,2288508.75,
temporal,demo_total,2025-09-04,323292.0,False,True,0.0,218060.454,1.0,-1360923.0,2268205.0,
