date,bio_age_5_17,bio_age_17_,bio_total,demo_age_5_17,demo_age_17_,demo_total,age_0_5,age_5_17,age_18_greater,enrol_total,weekday,week,month,day_num,bio_total_lag_1,bio_total_lag_7,bio_total_lag_30,bio_total_rolling_mean_7,bio_total_rolling_std_7,bio_total_rolling_min_7,bio_total_rolling_max_7,bio_total_rolling_median_7,bio_total_rolling_mean_14,bio_total_rolling_std_14,bio_total_rolling_min_14,bio_total_rolling_max_14,bio_total_rolling_median_14,bio_total_rolling_mean_30,bio_total_rolling_std_30,bio_total_rolling_min_30,bio_total_rolling_max_30,bio_total_rolling_median_30,bio_total_z_score,bio_total_deviation_from_baseline,bio_total_pct_change_from_baseline,bio_total_iqr_q1,bio_total_iqr_q3,bio_total_iqr,bio_total_iqr_lower_bound,bio_total_iqr_upper_bound,bio_total_outside_iqr,demo_total_lag_1,demo_total_lag_7,demo_total_lag_30,demo_total_rolling_mean_7,demo_total_rolling_std_7,demo_total_rolling_min_7,demo_total_rolling_max_7,demo_total_rolling_median_7,demo_total_rolling_mean_14,demo_total_rolling_std_14,demo_total_rolling_min_14,demo_total_rolling_max_14,demo_total_rolling_median_14,demo_total_rolling_mean_30,demo_total_rolling_std_30,demo_total_rolling_min_30,demo_total_rolling_max_30,demo_total_rolling_median_30,demo_total_z_score,demo_total_deviation_from_baseline,demo_total_pct_change_from_baseline,demo_total_iqr_q1,demo_total_iqr_q3,demo_total_iqr,demo_total_iqr_lower_bound,demo_total_iqr_upper_bound,demo_total_outside_iqr,enrol_total_lag_1,enrol_total_lag_7,enrol_total_lag_30,enrol_total_rolling_mean_7,enrol_total_rolling_std_7,enrol_total_rolling_min_7,enrol_total_rolling_max_7,enrol_total_rolling_median_7,enrol_total_rolling_mean_14,enrol_total_rolling_std_14,enrol_total_rolling_min_14,enrol_total_rolling_max_14,enrol_total_rolling_median_14,enrol_total_rolling_mean_30,enrol_total_rolling_std_30,enrol_total_rolling_min_30,enrol_total_rolling_max_30,enrol_total_rolling_median_30,enrol_total_z_score,enrol_total_deviation_from_baseline,enrol_total_pct_change_from_baseline,enrol_total_iqr_q1,enrol_total_iqr_q3,enrol_total_iqr,enrol_total_iqr_lower_bound,enrol_total_iqr_upper_bound,enrol_total_outside_iqr,day_of_week,day_of_week_sin,day_of_week_cos,month_sin,month_cos,quarter,week_of_year,day_of_month,year
2025-03-01,3733578.0,4588644.0,8322222.0,721108.0,7469044.0,8190152.0,0.0,0.0,0.0,0.0,Saturday,9,3,0,,,,8322222.0,,8322222.0,8322222.0,8322222.0,8322222.0,,8322222.0,8322222.0,8322222.0,8322222.0,,8322222.0,8322222.0,8322222.0,6.781194592046773,0.0,0.0,8322222.0,8322222.0,0.0,8322222.0,8322222.0,0,,,,8190152.0,,8190152.0,8190152.0,8190152.0,8190152.0,,8190152.0,8190152.0,8190152.0,8190152.0,,8190152.0,8190152.0,8190152.0,8.667732797056807,0.0,0.0,8190152.0,8190152.0,0.0,8190152.0,8190152.0,0,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,-1.7733950749220038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,1,9,1,2025
2025-03-02,0.0,0.0,0.0,0.0,0.0,0.0,11.0,61.0,37.0,109.0,Sunday,9,3,1,8322222.0,,,4161111.0,5884699.610739872,0.0,8322222.0,4161111.0,4161111.0,5884699.610739872,0.0,8322222.0,4161111.0,4161111.0,5884699.610739872,0.0,8322222.0,4161111.0,-0.798910742280577,-4161111.0,-99.99997596796241,2080555.5,6241666.5,4161111.0,-4161111.0,12483333.0,0,8190152.0,,,4095076.0,5791312.018148565,0.0,8190152.0,4095076.0,4095076.0,5791312.018148565,0.0,8190152.0,4095076.0,4095076.0,5791312.018148565,0.0,8190152.0,4095076.0,-0.5850689140573844,-4095076.0,-99.99997558043475,2047538.0,6142614.0,4095076.0,-4095076.0,12285228.0,0,0.0,,,54.5,77.07463914933368,0.0,109.0,54.5,54.5,77.07463914933368,0.0,109.0,54.5,54.5,77.07463914933368,0.0,109.0,54.5,-1.7691506890887287,54.5,98.1981981981982,27.25,81.75,54.5,-54.5,163.5,0,6,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,1,9,2,2025
2025-03-09,0.0,0.0,0.0,0.0,0.0,0.0,1037.0,1777.0,590.0,3404.0,Sunday,10,3,8,0.0,,,2774074.0,4804837.111955826,0.0,8322222.0,0.0,2774074.0,4804837.111955826,0.0,8322222.0,0.0,2774074.0,4804837.111955826,0.0,8322222.0,0.0,-0.798910742280577,-2774074.0,-99.99996395194795,0.0,4161111.0,4161111.0,-6241666.5,10402777.5,0,0.0,,,2730050.6666666665,4728586.461903952,0.0,8190152.0,0.0,2730050.6666666665,4728586.461903952,0.0,8190152.0,0.0,2730050.6666666665,4728586.461903952,0.0,8190152.0,0.0,-0.5850689140573844,-2730050.6666666665,-99.9999633706566,0.0,4095076.0,4095076.0,-6142614.0,10237690.0,0,109.0,,,1171.0,1934.6025431597054,0.0,3404.0,109.0,1171.0,1934.6025431597054,0.0,3404.0,109.0,1171.0,1934.6025431597054,0.0,3404.0,109.0,-1.640845631101199,2233.0,190.52901023890786,54.5,1756.5,1702.0,-2498.5,4309.5,0,6,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,1,10,9,2025
2025-03-15,0.0,0.0,0.0,0.0,0.0,0.0,710.0,1561.0,831.0,3102.0,Saturday,11,3,14,0.0,,,2080555.5,4161111.0,0.0,8322222.0,0.0,2080555.5,4161111.0,0.0,8322222.0,0.0,2080555.5,4161111.0,0.0,8322222.0,0.0,-0.798910742280577,-2080555.5,-99.99995193593637,0.0,2080555.5,2080555.5,-3120833.25,5201388.75,0,0.0,,,2047538.0,4095076.0000000005,0.0,8190152.0,0.0,2047538.0,4095076.0000000005,0.0,8190152.0,0.0,2047538.0,4095076.0000000005,0.0,8190152.0,0.0,-0.5850689140573844,-2047538.0,-99.99995116088142,0.0,2047538.0,2047538.0,-3071307.0,5118845.0,0,3404.0,,,1653.75,1851.3008714594898,0.0,3404.0,1605.5,1653.75,1851.3008714594898,0.0,3404.0,1605.5,1653.75,1851.3008714594898,0.0,3404.0,1605.5,-1.6526053056117405,1448.25,87.52077353074482,81.75,3177.5,3095.75,-4561.875,7821.125,0,5,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,1,11,15,2025
2025-03-20,0.0,0.0,0.0,0.0,0.0,0.0,2291.0,2533.0,1394.0,6218.0,Thursday,12,3,19,0.0,,,1664444.4,3721810.823168851,0.0,8322222.0,0.0,1664444.4,3721810.823168851,0.0,8322222.0,0.0,1664444.4,3721810.823168851,0.0,8322222.0,0.0,-0.798910742280577,-1664444.4,-99.99993991992768,0.0,0.0,0.0,0.0,0.0,0,0.0,,,1638030.4,3662747.323611172,0.0,8190152.0,0.0,1638030.4,3662747.323611172,0.0,8190152.0,0.0,1638030.4,3662747.323611172,0.0,8190152.0,0.0,-0.5850689140573844,-1638030.4,-99.99993895110923,0.0,0.0,0.0,0.0,0.0,0,3102.0,,,2566.6,2595.56579573703,0.0,6218.0,3102.0,2566.6,2595.56579573703,0.0,6218.0,3102.0,2566.6,2595.56579573703,0.0,6218.0,3102.0,-1.5312703858274785,3651.4,142.21062470789843,109.0,3404.0,3295.0,-4833.5,8346.5,0,3,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17,1,12,20,2025
2025-03-23,0.0,0.0,0.0,0.0,0.0,0.0,138.0,259.0,179.0,576.0,Sunday,12,3,22,0.0,,,1387037.0,3397532.904360751,0.0,8322222.0,0.0,1387037.0,3397532.904360751,0.0,8322222.0,0.0,1387037.0,3397532.904360751,0.0,8322222.0,0.0,-0.798910742280577,-1387037.0,-99.99992790392189,0.0,0.0,0.0,0.0,0.0,0,0.0,,,1365025.3333333333,3343615.5526391887,0.0,8190152.0,0.0,1365025.3333333333,3343615.5526391887,0.0,8190152.0,0.0,1365025.3333333333,3343615.5526391887,0.0,8190152.0,0.0,-0.5850689140573844,-1365025.3333333333,-99.99992674134003,0.0,0.0,0.0,0.0,0.0,0,6218.0,,,2234.8333333333335,2459.671556664968,0.0,6218.0,1839.0,2234.8333333333335,2459.671556664968,0.0,6218.0,1839.0,2234.8333333333335,2459.671556664968,0.0,6218.0,1839.0,-1.750966026848918,-1658.8333333333335,-74.1930674617965,225.75,3328.5,3102.75,-4428.375,7982.625,0,6,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,1,12,23,2025
2025-03-26,0.0,0.0,0.0,0.0,0.0,0.0,168.0,26.0,17.0,211.0,Wednesday,13,3,25,0.0,,,1188888.857142857,3145504.252495797,0.0,8322222.0,0.0,1188888.857142857,3145504.252495797,0.0,8322222.0,0.0,1188888.857142857,3145504.252495797,0.0,8322222.0,0.0,-0.798910742280577,-1188888.857142857,-99.99991588791897,0.0,0.0,0.0,0.0,0.0,0,0.0,,,1170021.7142857143,3095586.4845454684,0.0,8190152.0,0.0,1170021.7142857143,3095586.4845454684,0.0,8190152.0,0.0,1170021.7142857143,3095586.4845454684,0.0,8190152.0,0.0,-0.5850689140573844,-1170021.7142857143,-99.99991453157381,0.0,0.0,0.0,0.0,0.0,0,576.0,,,1945.7142857142858,2372.083944150215,0.0,6218.0,576.0,1945.7142857142858,2372.083944150215,0.0,6218.0,576.0,1945.7142857142858,2372.083944150215,0.0,6218.0,576.0,-1.7651788784924531,-1734.7142857142858,-89.10985543406473,160.0,3253.0,3093.0,-4479.5,7892.5,0,2,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,1,13,26,2025
2025-03-27,0.0,0.0,0.0,0.0,0.0,0.0,939.0,1121.0,644.0,2704.0,Thursday,13,3,26,0.0,8322222.0,,0.0,0.0,0.0,0.0,0.0,1040277.75,2942349.805369936,0.0,8322222.0,0.0,1040277.75,2942349.805369936,0.0,8322222.0,0.0,-0.798910742280577,-1040277.75,-99.99990387191895,0.0,0.0,0.0,0.0,0.0,0,0.0,8190152.0,,0.0,0.0,0.0,0.0,0.0,1023769.0,2895656.0090742824,0.0,8190152.0,0.0,1023769.0,2895656.0090742824,0.0,8190152.0,0.0,-0.5850689140573844,-1023769.0,-99.99990232181057,0.0,0.0,0.0,0.0,0.0,0,211.0,0.0,,2332.0,2217.5575903833183,109.0,6218.0,2704.0,2040.5,2212.426463668987,0.0,6218.0,1640.0,2040.5,2212.426463668987,0.0,6218.0,1640.0,-1.6681031548011294,663.5,32.500612294881215,185.5,3177.5,2992.0,-4302.5,7665.5,0,3,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17,1,13,27,2025
2025-03-28,0.0,0.0,0.0,0.0,0.0,0.0,43.0,58.0,90.0,191.0,Friday,13,3,27,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,924691.3333333334,2774074.0,0.0,8322222.0,0.0,924691.3333333334,2774074.0,0.0,8322222.0,0.0,-0.798910742280577,-924691.3333333334,-99.9998918559218,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,910016.8888888889,2730050.666666667,0.0,8190152.0,0.0,910016.8888888889,2730050.666666667,0.0,8190152.0,0.0,-0.5850689140573844,-910016.8888888889,-99.99989011205031,0.0,0.0,0.0,0.0,0.0,0,2704.0,109.0,,2343.714285714286,2204.0327216480337,191.0,6218.0,2704.0,1835.0,2159.4094678869965,0.0,6218.0,576.0,1835.0,2159.4094678869965,0.0,6218.0,576.0,-1.7659576648838797,-1644.0,-89.54248366013073,191.0,3102.0,2911.0,-4175.5,7468.5,0,4,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,1,13,28,2025
2025-03-29,0.0,0.0,0.0,0.0,0.0,0.0,30.0,11.0,26.0,67.0,Saturday,13,3,28,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,832222.2,2631717.671356181,0.0,8322222.0,0.0,832222.2,2631717.671356181,0.0,8322222.0,0.0,-0.798910742280577,-832222.2,-99.99987983992756,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,819015.2,2589953.4702983373,0.0,8190152.0,0.0,819015.2,2589953.4702983373,0.0,8190152.0,0.0,-0.5850689140573844,-819015.2,-99.99987790229302,0.0,0.0,0.0,0.0,0.0,0,191.0,3404.0,,1867.0,2295.466110981965,67.0,6218.0,576.0,1658.2,2111.2828012056243,0.0,6218.0,393.5,1658.2,2111.2828012056243,0.0,6218.0,393.5,-1.7707861405107246,-1591.2,-95.90163934426229,129.5,3002.5,2873.0,-4180.0,7312.0,0,5,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,1,13,29,2025
