state,forecast_type,period,forecast_value,conf_lower,conf_upper
Uttar Pradesh,short_term,1,29594.880658436214,0.0,352530.8193520853
Uttar Pradesh,short_term,2,29594.880658436214,0.0,352530.8193520853
Uttar Pradesh,short_term,3,29594.880658436214,0.0,352530.8193520853
Uttar Pradesh,short_term,4,29594.880658436214,0.0,352530.8193520853
Uttar Pradesh,short_term,5,29594.880658436214,0.0,352530.8193520853
Uttar Pradesh,short_term,6,29594.880658436214,0.0,352530.8193520853
Uttar Pradesh,short_term,7,29594.880658436214,0.0,352530.8193520853
Uttar Pradesh,short_term,8,29594.880658436214,0.0,352530.8193520853
Uttar Pradesh,short_term,9,29594.880658436214,0.0,352530.8193520853
Uttar Pradesh,short_term,10,29594.880658436214,0.0,352530.8193520853
Uttar Pradesh,short_term,11,29594.880658436214,0.0,352530.8193520853
Uttar Pradesh,short_term,12,29594.880658436214,0.0,352530.8193520853
Uttar Pradesh,short_term,13,29594.880658436214,0.0,352530.8193520853
Uttar Pradesh,short_term,14,29594.880658436214,0.0,352530.8193520853
Uttar Pradesh,short_term,15,29594.880658436214,0.0,352530.8193520853
Uttar Pradesh,short_term,16,29594.880658436214,0.0,352530.8193520853
Uttar Pradesh,short_term,17,29594.880658436214,0.0,352530.8193520853
Uttar Pradesh,short_term,18,29594.880658436214,0.0,352530.8193520853
Uttar Pradesh,short_term,19,29594.880658436214,0.0,352530.8193520853
Uttar Pradesh,short_term,20,29594.880658436214,0.0,352530.8193520853
Uttar Pradesh,short_term,21,29594.880658436214,0.0,352530.8193520853
Uttar Pradesh,short_term,22,29594.880658436214,0.0,352530.8193520853
Uttar Pradesh,short_term,23,29594.880658436214,0.0,352530.8193520853
Uttar Pradesh,short_term,24,29594.880658436214,0.0,352530.8193520853
Uttar Pradesh,short_term,25,29594.880658436214,0.0,352530.8193520853
Uttar Pradesh,short_term,26,29594.880658436214,0.0,352530.8193520853
Uttar Pradesh,short_term,27,29594.880658436214,0.0,352530.8193520853
Uttar Pradesh,short_term,28,29594.880658436214,0.0,352530.8193520853
Uttar Pradesh,short_term,29,29594.880658436214,0.0,352530.8193520853
Uttar Pradesh,short_term,30,29594.880658436214,0.0,352530.8193520853
Uttar Pradesh,short_term,31,29594.880658436214,0.0,352530.8193520853
Uttar Pradesh,short_term,32,29594.880658436214,0.0,352530.8193520853
Uttar Pradesh,short_term,33,29594.880658436214,0.0,352530.8193520853
Uttar Pradesh,short_term,34,29594.880658436214,0.0,352530.8193520853
Uttar Pradesh,short_term,35,29594.880658436214,0.0,352530.8193520853
Uttar Pradesh,short_term,36,29594.880658436214,0.0,352530.8193520853
Uttar Pradesh,short_term,37,29594.880658436214,0.0,352530.8193520853
Uttar Pradesh,short_term,38,29594.880658436214,0.0,352530.8193520853
Uttar Pradesh,short_term,39,29594.880658436214,0.0,352530.8193520853
Uttar Pradesh,short_term,40,29594.880658436214,0.0,352530.8193520853
Uttar Pradesh,short_term,41,29594.880658436214,0.0,352530.8193520853
Uttar Pradesh,short_term,42,29594.880658436214,0.0,352530.8193520853
Uttar Pradesh,short_term,43,29594.880658436214,0.0,352530.8193520853
Uttar Pradesh,short_term,44,29594.880658436214,0.0,352530.8193520853
Uttar Pradesh,short_term,45,29594.880658436214,0.0,352530.8193520853
Uttar Pradesh,short_term,46,29594.880658436214,0.0,352530.8193520853
Uttar Pradesh,short_term,47,29594.880658436214,0.0,352530.8193520853
Uttar Pradesh,short_term,48,29594.880658436214,0.0,352530.8193520853
Uttar Pradesh,short_term,49,29594.880658436214,0.0,352530.8193520853
Uttar Pradesh,short_term,50,29594.880658436214,0.0,352530.8193520853
Uttar Pradesh,short_term,51,29594.880658436214,0.0,352530.8193520853
Uttar Pradesh,short_term,52,29594.880658436214,0.0,352530.8193520853
Uttar Pradesh,short_term,53,29594.880658436214,0.0,352530.8193520853
Uttar Pradesh,short_term,54,29594.880658436214,0.0,352530.8193520853
Uttar Pradesh,short_term,55,29594.880658436214,0.0,352530.8193520853
Uttar Pradesh,short_term,56,29594.880658436214,0.0,352530.8193520853
Uttar Pradesh,short_term,57,29594.880658436214,0.0,352530.8193520853
Uttar Pradesh,short_term,58,29594.880658436214,0.0,352530.8193520853
Uttar Pradesh,short_term,59,29594.880658436214,0.0,352530.8193520853
Uttar Pradesh,short_term,60,29594.880658436214,0.0,352530.8193520853
Uttar Pradesh,short_term,61,29594.880658436214,0.0,352530.8193520853
Maharashtra,short_term,1,27236.654320987655,0.0,308553.9032085447
Maharashtra,short_term,2,27236.654320987655,0.0,308553.9032085447
Maharashtra,short_term,3,27236.654320987655,0.0,308553.9032085447
Maharashtra,short_term,4,27236.654320987655,0.0,308553.9032085447
Maharashtra,short_term,5,27236.654320987655,0.0,308553.9032085447
Maharashtra,short_term,6,27236.654320987655,0.0,308553.9032085447
Maharashtra,short_term,7,27236.654320987655,0.0,308553.9032085447
Maharashtra,short_term,8,27236.654320987655,0.0,308553.9032085447
Maharashtra,short_term,9,27236.654320987655,0.0,308553.9032085447
Maharashtra,short_term,10,27236.654320987655,0.0,308553.9032085447
Maharashtra,short_term,11,27236.654320987655,0.0,308553.9032085447
Maharashtra,short_term,12,27236.654320987655,0.0,308553.9032085447
Maharashtra,short_term,13,27236.654320987655,0.0,308553.9032085447
Maharashtra,short_term,14,27236.654320987655,0.0,308553.9032085447
Maharashtra,short_term,15,27236.654320987655,0.0,308553.9032085447
Maharashtra,short_term,16,27236.654320987655,0.0,308553.9032085447
Maharashtra,short_term,17,27236.654320987655,0.0,308553.9032085447
Maharashtra,short_term,18,27236.654320987655,0.0,308553.9032085447
Maharashtra,short_term,19,27236.654320987655,0.0,308553.9032085447
Maharashtra,short_term,20,27236.654320987655,0.0,308553.9032085447
Maharashtra,short_term,21,27236.654320987655,0.0,308553.9032085447
Maharashtra,short_term,22,27236.654320987655,0.0,308553.9032085447
Maharashtra,short_term,23,27236.654320987655,0.0,308553.9032085447
Maharashtra,short_term,24,27236.654320987655,0.0,308553.9032085447
Maharashtra,short_term,25,27236.654320987655,0.0,308553.9032085447
Maharashtra,short_term,26,27236.654320987655,0.0,308553.9032085447
Maharashtra,short_term,27,27236.654320987655,0.0,308553.9032085447
Maharashtra,short_term,28,27236.654320987655,0.0,308553.9032085447
Maharashtra,short_term,29,27236.654320987655,0.0,308553.9032085447
Maharashtra,short_term,30,27236.654320987655,0.0,308553.9032085447
Maharashtra,short_term,31,27236.654320987655,0.0,308553.9032085447
Maharashtra,short_term,32,27236.654320987655,0.0,308553.9032085447
Maharashtra,short_term,33,27236.654320987655,0.0,308553.9032085447
Maharashtra,short_term,34,27236.654320987655,0.0,308553.9032085447
Maharashtra,short_term,35,27236.654320987655,0.0,308553.9032085447
Maharashtra,short_term,36,27236.654320987655,0.0,308553.9032085447
Maharashtra,short_term,37,27236.654320987655,0.0,308553.9032085447
Maharashtra,short_term,38,27236.654320987655,0.0,308553.9032085447
Maharashtra,short_term,39,27236.654320987655,0.0,308553.9032085447
Maharashtra,short_term,40,27236.654320987655,0.0,308553.9032085447
Maharashtra,short_term,41,27236.654320987655,0.0,308553.9032085447
Maharashtra,short_term,42,27236.654320987655,0.0,308553.9032085447
Maharashtra,short_term,43,27236.654320987655,0.0,308553.9032085447
Maharashtra,short_term,44,27236.654320987655,0.0,308553.9032085447
Maharashtra,short_term,45,27236.654320987655,0.0,308553.9032085447
Maharashtra,short_term,46,27236.654320987655,0.0,308553.9032085447
Maharashtra,short_term,47,27236.654320987655,0.0,308553.9032085447
Maharashtra,short_term,48,27236.654320987655,0.0,308553.9032085447
Maharashtra,short_term,49,27236.654320987655,0.0,308553.9032085447
Maharashtra,short_term,50,27236.654320987655,0.0,308553.9032085447
Maharashtra,short_term,51,27236.654320987655,0.0,308553.9032085447
Maharashtra,short_term,52,27236.654320987655,0.0,308553.9032085447
Maharashtra,short_term,53,27236.654320987655,0.0,308553.9032085447
Maharashtra,short_term,54,27236.654320987655,0.0,308553.9032085447
Maharashtra,short_term,55,27236.654320987655,0.0,308553.9032085447
Maharashtra,short_term,56,27236.654320987655,0.0,308553.9032085447
Maharashtra,short_term,57,27236.654320987655,0.0,308553.9032085447
Maharashtra,short_term,58,27236.654320987655,0.0,308553.9032085447
Maharashtra,short_term,59,27236.654320987655,0.0,308553.9032085447
Maharashtra,short_term,60,27236.654320987655,0.0,308553.9032085447
Maharashtra,short_term,61,27236.654320987655,0.0,308553.9032085447
Madhya Pradesh,short_term,1,19791.604938271605,0.0,253883.60857992884
Madhya Pradesh,short_term,2,19791.604938271605,0.0,253883.60857992884
Madhya Pradesh,short_term,3,19791.604938271605,0.0,253883.60857992884
Madhya Pradesh,short_term,4,19791.604938271605,0.0,253883.60857992884
Madhya Pradesh,short_term,5,19791.604938271605,0.0,253883.60857992884
Madhya Pradesh,short_term,6,19791.604938271605,0.0,253883.60857992884
Madhya Pradesh,short_term,7,19791.604938271605,0.0,253883.60857992884
Madhya Pradesh,short_term,8,19791.604938271605,0.0,253883.60857992884
Madhya Pradesh,short_term,9,19791.604938271605,0.0,253883.60857992884
Madhya Pradesh,short_term,10,19791.604938271605,0.0,253883.60857992884
Madhya Pradesh,short_term,11,19791.604938271605,0.0,253883.60857992884
Madhya Pradesh,short_term,12,19791.604938271605,0.0,253883.60857992884
Madhya Pradesh,short_term,13,19791.604938271605,0.0,253883.60857992884
Madhya Pradesh,short_term,14,19791.604938271605,0.0,253883.60857992884
Madhya Pradesh,short_term,15,19791.604938271605,0.0,253883.60857992884
Madhya Pradesh,short_term,16,19791.604938271605,0.0,253883.60857992884
Madhya Pradesh,short_term,17,19791.604938271605,0.0,253883.60857992884
Madhya Pradesh,short_term,18,19791.604938271605,0.0,253883.60857992884
Madhya Pradesh,short_term,19,19791.604938271605,0.0,253883.60857992884
Madhya Pradesh,short_term,20,19791.604938271605,0.0,253883.60857992884
Madhya Pradesh,short_term,21,19791.604938271605,0.0,253883.60857992884
Madhya Pradesh,short_term,22,19791.604938271605,0.0,253883.60857992884
Madhya Pradesh,short_term,23,19791.604938271605,0.0,253883.60857992884
Madhya Pradesh,short_term,24,19791.604938271605,0.0,253883.60857992884
Madhya Pradesh,short_term,25,19791.604938271605,0.0,253883.60857992884
Madhya Pradesh,short_term,26,19791.604938271605,0.0,253883.60857992884
Madhya Pradesh,short_term,27,19791.604938271605,0.0,253883.60857992884
Madhya Pradesh,short_term,28,19791.604938271605,0.0,253883.60857992884
Madhya Pradesh,short_term,29,19791.604938271605,0.0,253883.60857992884
Madhya Pradesh,short_term,30,19791.604938271605,0.0,253883.60857992884
Madhya Pradesh,short_term,31,19791.604938271605,0.0,253883.60857992884
Madhya Pradesh,short_term,32,19791.604938271605,0.0,253883.60857992884
Madhya Pradesh,short_term,33,19791.604938271605,0.0,253883.60857992884
Madhya Pradesh,short_term,34,19791.604938271605,0.0,253883.60857992884
Madhya Pradesh,short_term,35,19791.604938271605,0.0,253883.60857992884
Madhya Pradesh,short_term,36,19791.604938271605,0.0,253883.60857992884
Madhya Pradesh,short_term,37,19791.604938271605,0.0,253883.60857992884
Madhya Pradesh,short_term,38,19791.604938271605,0.0,253883.60857992884
Madhya Pradesh,short_term,39,19791.604938271605,0.0,253883.60857992884
Madhya Pradesh,short_term,40,19791.604938271605,0.0,253883.60857992884
Madhya Pradesh,short_term,41,19791.604938271605,0.0,253883.60857992884
Madhya Pradesh,short_term,42,19791.604938271605,0.0,253883.60857992884
Madhya Pradesh,short_term,43,19791.604938271605,0.0,253883.60857992884
Madhya Pradesh,short_term,44,19791.604938271605,0.0,253883.60857992884
Madhya Pradesh,short_term,45,19791.604938271605,0.0,253883.60857992884
Madhya Pradesh,short_term,46,19791.604938271605,0.0,253883.60857992884
Madhya Pradesh,short_term,47,19791.604938271605,0.0,253883.60857992884
