state,forecast_type,forecast_periods,model_order,aic,mae,rmse,mape
Uttar Pradesh,short_term,61,"(0, 0, 0)",6531.573739241596,22471.262088477364,26993.65675625186,6786.132647885252
Maharashtra,short_term,61,"(0, 0, 0)",6464.519862770183,27403.349022633745,31615.972639160773,31755.05835640655
Madhya Pradesh,short_term,61,"(0, 0, 0)",6375.208218168171,8237.966049382716,10375.57767402153,44044.72602449685
Bihar,short_term,61,"(0, 0, 0)",6251.491807613311,10099.725137174211,12186.077273219418,19536.134836986384
Tamil Nadu,short_term,61,"(0, 0, 0)",6168.887111254019,14839.329475308643,16690.879305400154,9931.601171940241
Rajasthan,short_term,61,"(0, 0, 0)",6077.101815775461,9441.183641975309,11211.829130407541,9695.462837803088
Andhra Pradesh,short_term,61,"(0, 0, 0)",6103.076255292766,8068.323089046494,10663.713732865668,1144.243387354785
Gujarat,short_term,61,"(0, 0, 0)",6064.628871708779,5881.648491083676,7863.083855874404,8202.832329168628
Karnataka,short_term,61,"(0, 0, 0)",5929.798271101459,5418.340877914953,6624.8240525666615,19015.589749197683
Chhattisgarh,short_term,61,"(0, 0, 0)",5864.593322095163,11034.364454732511,13381.60403360036,3818.6237980954943
