insight_id,insight_type,title,priority,impact,state,district,rationale,expected_impact,action_items,timeline,estimated_volume,confidence,campaign_type,anomaly_count,anomaly_type,forecasted_volume,forecast_period,trend_slope,planning_period
8,targeted_campaign,Pre-Surge Preparation Campaign in Uttar Pradesh,Medium,Medium,Uttar Pradesh,,Surge predicted in Uttar Pradesh within 30-90 days. Pre-campaign can help prepare population and reduce surge impact,"Prepare population for upcoming surge, potentially flattening the surge curve",Begin awareness campaign in Uttar Pradesh before surge hits; Encourage early enrollment to reduce surge volume; Set up pre-enrollment registration system; Provide information about required documents; Coordinate with local enrollment centers,Within next 31 days,,,Pre-Surge Preparation,,,,,,
9,targeted_campaign,Pre-Surge Preparation Campaign in Maharashtra,Medium,Medium,Maharashtra,,Surge predicted in Maharashtra within 30-90 days. Pre-campaign can help prepare population and reduce surge impact,"Prepare population for upcoming surge, potentially flattening the surge curve",Begin awareness campaign in Maharashtra before surge hits; Encourage early enrollment to reduce surge volume; Set up pre-enrollment registration system; Provide information about required documents; Coordinate with local enrollment centers,Within next 31 days,,,Pre-Surge Preparation,,,,,,
10,targeted_campaign,Pre-Surge Preparation Campaign in Madhya Pradesh,Medium,Medium,Madhya Pradesh,,Surge predicted in Madhya Pradesh within 30-90 days. Pre-campaign can help prepare population and reduce surge impact,"Prepare population for upcoming surge, potentially flattening the surge curve",Begin awareness campaign in Madhya Pradesh before surge hits; Encourage early enrollment to reduce surge volume; Set up pre-enrollment registration system; Provide information about required documents; Coordinate with local enrollment centers,Within next 31 days,,,Pre-Surge Preparation,,,,,,
11,targeted_campaign,Pre-Surge Preparation Campaign in Bihar,Medium,Medium,Bihar,,Surge predicted in Bihar within 30-90 days. Pre-campaign can help prepare population and reduce surge impact,"Prepare population for upcoming surge, potentially flattening the surge curve",Begin awareness campaign in Bihar before surge hits; Encourage early enrollment to reduce surge volume; Set up pre-enrollment registration system; Provide information about required documents; Coordinate with local enrollment centers,Within next 31 days,,,Pre-Surge Preparation,,,,,,
12,targeted_campaign,Pre-Surge Preparation Campaign in Tamil Nadu,Medium,Medium,Tamil Nadu,,Surge predicted in Tamil Nadu within 30-90 days. Pre-campaign can help prepare population and reduce surge impact,"Prepare population for upcoming surge, potentially flattening the surge curve",Begin awareness campaign in Tamil Nadu before surge hits; Encourage early enrollment to reduce surge volume; Set up pre-enrollment registration system; Provide information about required documents; Coordinate with local enrollment centers,Within next 31 days,,,Pre-Surge Preparation,,,,,,
13,targeted_campaign,Pre-Surge Preparation Campaign in Rajasthan,Medium,Medium,Rajasthan,,Surge predicted in Rajasthan within 30-90 days. Pre-campaign can help prepare population and reduce surge impact,"Prepare population for upcoming surge, potentially flattening the surge curve",Begin awareness campaign in Rajasthan before surge hits; Encourage early enrollment to reduce surge volume; Set up pre-enrollment registration system; Provide information about required documents; Coordinate with local enrollment centers,Within next 31 days,,,Pre-Surge Preparation,,,,,,
14,targeted_campaign,Pre-Surge Preparation Campaign in Andhra Pradesh,Medium,Medium,Andhra Pradesh,,Surge predicted in Andhra Pradesh within 30-90 days. Pre-campaign can help prepare population and reduce surge impact,"Prepare population for upcoming surge, potentially flattening the surge curve",Begin awareness campaign in Andhra Pradesh before surge hits; Encourage early enrollment to reduce surge volume; Set up pre-enrollment registration system; Provide information about required documents; Coordinate with local enrollment centers,Within next 31 days,,,Pre-Surge Preparation,,,,,,
16,capacity_planning,Capacity Planning for Uttar Pradesh,Medium,Medium,Uttar Pradesh,,"Short-term forecasts indicate average daily volume of 29,595 (upper bound: 352,531) for Uttar Pradesh. Current capacity may be insufficient",Ensure adequate capacity to handle forecasted demand,Review current capacity in Uttar Pradesh; Plan for 1 enrollment centers; Assess current center utilization rates; Identify capacity expansion needs; Plan staffing requirements; Coordinate infrastructure upgrades if needed; Consider temporary capacity increases,Within 1-2 months,,,,,,29594.880658436214,Short-term (1-3 months),,
17,capacity_planning,Capacity Planning for Maharashtra,Medium,Medium,Maharashtra,,"Short-term forecasts indicate average daily volume of 27,237 (upper bound: 308,554) for Maharashtra. Current capacity may be insufficient",Ensure adequate capacity to handle forecasted demand,Review current capacity in Maharashtra; Plan for 1 enrollment centers; Assess current center utilization rates; Identify capacity expansion needs; Plan staffing requirements; Coordinate infrastructure upgrades if needed; Consider temporary capacity increases,Within 1-2 months,,,,,,27236.65432098765,Short-term (1-3 months),,
18,capacity_planning,Capacity Planning for Madhya Pradesh,Medium,Medium,Madhya Pradesh,,"Short-term forecasts indicate average daily volume of 19,792 (upper bound: 253,884) for Madhya Pradesh. Current capacity may be insufficient",Ensure adequate capacity to handle forecasted demand,Review current capacity in Madhya Pradesh; Plan for 1 enrollment centers; Assess current center utilization rates; Identify capacity expansion needs; Plan staffing requirements; Coordinate infrastructure upgrades if needed; Consider temporary capacity increases,Within 1-2 months,,,,,,19791.604938271605,Short-term (1-3 months),,
